time,latitude,longitude,elevation,pointxyz,distance,elevation_change,cum_elevation,cum_distance,step_feet,gradient_point,gradient_rating
,39.996128,-77.920479,383.200012,"(39.996128, -77.920479, 383.200012)",0.00690328,-0.5,-6.299987999999985,0.37826636,36.4493184,-4.1,flat
,39.99614,-77.92028,383.700012,"(39.99614, -77.92028, 383.700012)",0.01056597,0.5,-5.799987999999985,0.38883233,55.788321599999996,2.8,flat
,39.996105,-77.920097,383.700012,"(39.996105, -77.920097, 383.700012)",0.00998379,0.0,-5.799987999999985,0.39881612,52.714411199999994,0.0,flat
,39.996063,-77.919922,384.200012,"(39.996063, -77.919922, 384.200012)",0.00970696,0.5,-5.299987999999985,0.40852308,51.252748800000006,3.0,flat
,39.996025,-77.919731,382.700012,"(39.996025, -77.919731, 382.700012)",0.01044532,-1.5,-6.799987999999985,0.41896839999999996,55.1512896,-8.4,down
,39.995998,-77.919563,383.200012,"(39.995998, -77.919563, 383.200012)",0.0090861,0.5,-6.299987999999985,0.42805449999999995,47.974607999999996,3.2,flat
,39.995975,-77.919418,383.200012,"(39.995975, -77.919418, 383.200012)",0.00783789,0.0,-6.299987999999985,0.43589238999999996,41.3840592,0.0,flat
,39.995979,-77.919289,385.600006,"(39.995979, -77.919289, 385.600006)",0.00683379,2.3999939999999924,-3.8999939999999924,0.44272617999999997,36.0824112,20.0,bigUp
,39.996006,-77.919113,386.100006,"(39.996006, -77.919113, 386.100006)",0.00950093,0.5,-3.3999939999999924,0.45222711,50.1649104,3.1,flat
,39.995979,-77.918999,386.100006,"(39.995979, -77.918999, 386.100006)",0.00631601,0.0,-3.3999939999999924,0.45854311999999997,33.3485328,0.0,flat
,39.995945,-77.918968,388.5,"(39.995945, -77.918968, 388.5)",0.00286551,2.3999939999999924,-1.0,0.46140863,15.1298928,13.05,up
,39.995861,-77.919113,392.799988,"(39.995861, -77.919113, 392.799988)",0.00962247,4.299987999999985,3.299987999999985,0.4710311,50.8066416,26.1,bigUp
,39.995804,-77.919228,393.799988,"(39.995804, -77.919228, 393.799988)",0.0072501,1.0,4.299987999999985,0.47828119999999996,38.280528,7.9,up
,39.995762,-77.919289,393.799988,"(39.995762, -77.919289, 393.799988)",0.00434127,0.0,4.299987999999985,0.48262246999999997,22.921905600000002,0.0,flat
,39.995701,-77.919235,398.100006,"(39.995701, -77.919235, 398.100006)",0.00509251,4.300018000000023,8.600006000000008,0.48771497999999996,26.8884528,6.15,up
,39.995686,-77.919205,398.600006,"(39.995686, -77.919205, 398.600006)",0.00189624,0.5,9.100006000000008,0.48961121999999996,10.0121472,12.3,up
,39.99564,-77.919075,401.0,"(39.99564, -77.919075, 401.0)",0.0075797,2.3999939999999924,11.5,0.49719092,40.020815999999996,18.2,bigUp
,39.995586,-77.918961,401.0,"(39.995586, -77.918961, 401.0)",0.00709457,0.0,11.5,0.50428549,37.4593296,0.0,flat
,39.995525,-77.918884,402.899994,"(39.995525, -77.918884, 402.899994)",0.00586307,1.8999939999999924,13.399993999999992,0.51014856,30.9570096,18.2,bigUp
,39.995491,-77.918877,402.0,"(39.995491, -77.918877, 402.0)",0.00237822,-0.8999939999999924,12.5,0.51252678,12.5570016,-18.6,bigDown
,39.995441,-77.918854,402.5,"(39.995441, -77.918854, 402.5)",0.00366291,0.5,13.0,0.5161896899999999,19.3401648,7.3,up
,39.995441,-77.918961,404.399994,"(39.995441, -77.918961, 404.399994)",0.00566374,1.8999939999999924,14.899993999999992,0.52185343,29.904547199999996,18.8,bigUp
,39.995449,-77.919083,405.299988,"(39.995449, -77.919083, 405.299988)",0.00648134,0.8999939999999924,15.799987999999985,0.52833477,34.2214752,7.9,up
,39.99546,-77.919167,405.799988,"(39.99546, -77.919167, 405.799988)",0.00451079,0.5,16.299987999999985,0.5328455599999999,23.816971199999998,6.1,up
,39.995449,-77.91925,406.299988,"(39.995449, -77.91925, 406.299988)",0.00445862,0.5,16.799987999999985,0.5373041799999999,23.5415136,6.1,up
,39.99543,-77.919365,406.299988,"(39.99543, -77.919365, 406.299988)",0.00622715,0.0,16.799987999999985,0.5435313299999999,32.879352,0.0,flat
,39.995411,-77.919434,406.799988,"(39.995411, -77.919434, 406.799988)",0.00388109,0.5,17.299987999999985,0.5474124199999999,20.4921552,6.9,up
,39.995392,-77.919479,408.700012,"(39.995392, -77.919479, 408.700012)",0.00271975,1.9000240000000304,19.200012000000015,0.5501321699999999,14.36028,8.766666666666667,up
,39.995354,-77.919403,412.100006,"(39.995354, -77.919403, 412.100006)",0.00480383,3.3999939999999924,22.600006000000008,0.5549359999999999,25.364222400000003,10.633333333333333,up
,39.995316,-77.91935,413.0,"(39.995316, -77.91935, 413.0)",0.00384237,0.8999939999999924,23.5,0.5587783699999999,20.2877136,12.5,up
,39.995296,-77.919327,415.399994,"(39.995296, -77.919327, 415.399994)",0.00184166,2.3999939999999924,25.899993999999992,0.5606200299999998,9.7239648,14.166666666666666,up
,39.995224,-77.919266,419.299988,"(39.995224, -77.919266, 419.299988)",0.00593073,3.8999939999999924,29.799987999999985,0.5665507599999998,31.314254400000003,15.833333333333334,bigUp
,39.995163,-77.919182,421.200012,"(39.995163, -77.919182, 421.200012)",0.00612645,1.9000240000000304,31.700012000000015,0.5726772099999998,32.347656,17.5,bigUp
,39.995102,-77.91906,426.0,"(39.995102, -77.91906, 426.0)",0.00771144,4.799987999999985,36.5,0.5803886499999998,40.7164032,12.9,up
