"Time Period","Activities","Total Distance","Total Activity Time","Activity Calories","Total Ascent","Average Speed","Average Heart Rate","Average Run Cadence","Average Bike Cadence"
"03/08/2020","3","20.05 mi","2:32:10 h:m:s","2,096","1,709 ft","7.9 mph","150 bpm","183 spm","--"
"03/01/2020","1","7.09 mi","1:04:57 h:m:s","890","630 ft","6.6 mph","152 bpm","173 spm","--"
"02/23/2020","3","42.21 mi","7:41:58 h:m:s","5,425","5,568 ft","5.5 mph","156 bpm","169 spm","--"
"02/16/2020","2","17.32 mi","2:51:28 h:m:s","2,524","1,325 ft","6.1 mph","158 bpm","172 spm","--"
"02/09/2020","3","16.95 mi","2:30:19 h:m:s","1,993","512 ft","6.8 mph","148 bpm","166 spm","--"
"02/02/2020","3","17.69 mi","2:20:16 h:m:s","1,954","348 ft","7.6 mph","153 bpm","181 spm","--"
"01/26/2020","2","9.03 mi","1:11:09 h:m:s","1,034","226 ft","7.6 mph","156 bpm","181 spm","--"
"01/19/2020","1","2.31 mi","18:23 h:m:s","257","49 ft","7.5 mph","149 bpm","179 spm","--"
"01/05/2020","3","20.85 mi","2:42:46 h:m:s","2,461","1,089 ft","7.7 mph","158 bpm","180 spm","--"
"12/29/2019","2","12.16 mi","1:33:32 h:m:s","1,288","299 ft","7.8 mph","148 bpm","182 spm","--"
"12/22/2019","1","6.08 mi","46:01 h:m:s","681","121 ft","7.9 mph","157 bpm","183 spm","--"
"12/15/2019","2","9.42 mi","1:13:00 h:m:s","1,096","430 ft","7.7 mph","158 bpm","183 spm","--"
"12/01/2019","3","68.81 mi","16:31:48 h:m:s","9,713","6,673 ft","4.2 mph","148 bpm","157 spm","--"
"11/24/2019","3","12.71 mi","1:43:53 h:m:s","1,140","272 ft","7.3 mph","123 bpm","182 spm","--"
"11/17/2019","2","21.12 mi","3:25:47 h:m:s","2,884","2,024 ft","6.2 mph","160 bpm","169 spm","--"
"11/10/2019","2","24.47 mi","4:20:56 h:m:s","3,558","1,890 ft","5.6 mph","158 bpm","168 spm","--"
"11/03/2019","3","25.02 mi","3:21:11 h:m:s","2,933","912 ft","7.5 mph","153 bpm","179 spm","--"
"10/27/2019","2","20.80 mi","3:26:07 h:m:s","2,944","1,549 ft","6.1 mph","156 bpm","173 spm","--"
"10/20/2019","2","18.79 mi","3:02:36 h:m:s","2,704","1,460 ft","6.2 mph","159 bpm","173 spm","--"
"10/13/2019","2","10.40 mi","1:44:33 h:m:s","1,063","479 ft","6.0 mph","130 bpm","161 spm","--"
"10/06/2019","1","4.29 mi","31:43 h:m:s","458","92 ft","8.1 mph","150 bpm","184 spm","--"
"09/29/2019","3","47.88 mi","8:34:42 h:m:s","6,375","4,216 ft","5.6 mph","154 bpm","169 spm","--"
"09/22/2019","2","12.87 mi","1:38:41 h:m:s","1,363","686 ft","7.8 mph","149 bpm","184 spm","--"
"09/15/2019","1","7.70 mi","58:52 h:m:s","782","430 ft","7.8 mph","148 bpm","184 spm","--"
"09/08/2019","4","38.10 mi","5:38:12 h:m:s","2,912","1,329 ft","6.8 mph","130 bpm","140 spm","--"
"09/01/2019","2","11.62 mi","1:28:00 h:m:s","1,249","213 ft","7.9 mph","155 bpm","183 spm","--"
"08/25/2019","3","10.04 mi","2:42:37 h:m:s","1,267","1,138 ft","3.7 mph","119 bpm","136 spm","--"
"08/18/2019","3","14.00 mi","3:27:40 h:m:s","1,927","988 ft","4.0 mph","139 bpm","126 spm","--"
"08/11/2019","1","4.55 mi","37:15 h:m:s","552","49 ft","7.3 mph","157 bpm","180 spm","--"
"08/04/2019","2","10.32 mi","1:18:53 h:m:s","1,177","174 ft","7.9 mph","156 bpm","182 spm","--"
"07/28/2019","4","22.70 mi","2:57:33 h:m:s","1,915","604 ft","7.7 mph","128 bpm","158 spm","--"
"07/21/2019","1","6.03 mi","43:55 h:m:s","672","85 ft","8.2 mph","159 bpm","186 spm","--"
"07/14/2019","3","12.42 mi","1:39:44 h:m:s","1,445","141 ft","7.5 mph","153 bpm","185 spm","--"
"07/07/2019","4","7.73 mi","1:18:16 h:m:s","976","410 ft","5.9 mph","136 bpm","184 spm","--"
"06/30/2019","1","3.29 mi","49:33 h:m:s","339","102 ft","4.0 mph","94 bpm","136 spm","--"
"06/23/2019","2","11.62 mi","1:51:59 h:m:s","1,429","1,093 ft","6.2 mph","144 bpm","160 spm","--"
"06/16/2019","2","11.92 mi","1:29:45 h:m:s","1,277","492 ft","8.0 mph","148 bpm","184 spm","--"
"06/09/2019","5","42.92 mi","6:26:11 h:m:s","3,763","1,184 ft","6.7 mph","125 bpm","172 spm","--"
"06/02/2019","3","18.24 mi","2:14:43 h:m:s","1,949","381 ft","8.1 mph","151 bpm","185 spm","--"
"05/26/2019","3","17.64 mi","2:14:36 h:m:s","2,036","531 ft","7.9 mph","154 bpm","180 spm","--"
"05/19/2019","2","12.33 mi","1:30:19 h:m:s","1,360","299 ft","8.2 mph","151 bpm","185 spm","--"
"05/12/2019","3","20.07 mi","2:26:37 h:m:s","2,185","430 ft","8.2 mph","152 bpm","186 spm","--"
"05/05/2019","3","16.10 mi","2:30:17 h:m:s","2,172","295 ft","6.4 mph","152 bpm","172 spm","--"
"04/28/2019","3","22.19 mi","2:44:43 h:m:s","2,423","436 ft","8.1 mph","153 bpm","185 spm","--"
"04/21/2019","3","16.47 mi","2:04:16 h:m:s","1,789","295 ft","8.0 mph","151 bpm","183 spm","--"
"04/14/2019","3","10.38 mi","2:13:28 h:m:s","1,567","210 ft","4.7 mph","136 bpm","149 spm","--"
"04/07/2019","2","11.29 mi","1:26:56 h:m:s","1,200","285 ft","7.8 mph","147 bpm","181 spm","--"
"03/31/2019","2","11.21 mi","1:25:01 h:m:s","1,203","246 ft","7.9 mph","150 bpm","183 spm","--"
"03/24/2019","3","15.70 mi","2:20:27 h:m:s","2,110","758 ft","6.7 mph","157 bpm","176 spm","--"
"03/17/2019","1","2.76 mi","20:28 h:m:s","289","108 ft","8.1 mph","150 bpm","184 spm","--"
"03/10/2019","1","0.15 mi","11:03 h:m:s","161","30 ft","0.8 mph","151 bpm","172 spm","--"
"02/10/2019","1","1.23 mi","9:24.0 h:m:s","123","43 ft","7.8 mph","136 bpm","185 spm","--"
"02/03/2019","2","14.73 mi","1:47:08 h:m:s","1,660","646 ft","8.3 mph","160 bpm","187 spm","--"
"01/27/2019","2","12.55 mi","1:57:18 h:m:s","1,728","1,181 ft","6.4 mph","156 bpm","170 spm","--"
"01/20/2019","2","14.05 mi","1:42:51 h:m:s","1,523","387 ft","8.2 mph","154 bpm","188 spm","--"
"01/13/2019","1","6.02 mi","46:37 h:m:s","688","131 ft","7.8 mph","153 bpm","187 spm","--"
"01/06/2019","3","22.05 mi","2:40:46 h:m:s","2,348","620 ft","8.2 mph","154 bpm","187 spm","--"
"12/30/2018","3","24.08 mi","2:57:37 h:m:s","2,589","692 ft","8.1 mph","155 bpm","186 spm","--"
"12/23/2018","3","12.05 mi","1:39:26 h:m:s","1,321","220 ft","7.3 mph","154 bpm","173 spm","--"
"12/16/2018","1","8.01 mi","59:55 h:m:s","929","259 ft","8.0 mph","164 bpm","186 spm","--"
"12/09/2018","2","12.22 mi","1:32:51 h:m:s","1,277","341 ft","7.9 mph","150 bpm","182 spm","--"
"11/25/2018","3","113.30 mi","30:47:51 h:m:s","14,756","11,483 ft","3.7 mph","143 bpm","159 spm","--"
"11/18/2018","3","29.73 mi","4:47:56 h:m:s","4,180","2,405 ft","6.2 mph","164 bpm","171 spm","--"
"11/11/2018","2","20.28 mi","3:56:17 h:m:s","2,984","1,585 ft","5.1 mph","152 bpm","158 spm","--"
