,timestamp,position_lat,position_long,distance,enhanced_altitude,altitude,enhanced_speed,speed,unknown_87,unknown_88,heart_rate,cadence,temperature,fractional_cadence,eE,rE,pwr,tpRE,frnrRE
2064,2022-05-04T14:20:18+00:00,38.77369827590883,-77.0518818218261,6.85375,-14.399999999999977,-14.399999999999977,12.495600000000001,12.495600000000001,,300,154,94,21,0.0,-1.0,868.8134765625,119.12613677978516,,1.727015614509582
2065,2022-05-04T14:20:19+00:00,38.77373565919697,-77.05188106745481,6.8579,-14.399999999999977,-14.399999999999977,12.528,12.528,,300,154,94,21,0.0,-1.0,868.7200927734375,119.12613677978516,,1.727015614509582
2066,2022-05-04T14:20:20+00:00,38.77376667223871,-77.05187687650323,6.8613599999999995,-14.399999999999977,-14.399999999999977,12.528,12.528,,300,154,94,21,0.0,-1.0,868.7200927734375,119.12613677978516,,1.722398042678833
2067,2022-05-04T14:20:21+00:00,38.773792991414666,-77.05187193118036,6.8643100000000015,-14.600000000000023,-14.600000000000023,12.564000000000002,12.564000000000002,,300,154,94,21,0.0,-1.0,868.7200927734375,119.12613677978516,,1.722398042678833
2068,2022-05-04T14:20:22+00:00,38.77382869832218,-77.05186866223812,6.86826,-14.600000000000023,-14.600000000000023,12.564000000000002,12.564000000000002,,300,154,93,21,0.0,-1.0,868.7200927734375,119.12613677978516,,1.7362511157989502
2069,2022-05-04T14:20:23+00:00,38.773856945335865,-77.05185927450657,6.87149,-14.600000000000023,-14.600000000000023,12.596400000000001,12.596400000000001,,300,154,93,21,0.0,-1.0,868.7200927734375,119.12613677978516,,1.7362511157989502
2070,2022-05-04T14:20:24+00:00,38.77388510853052,-77.05185692757368,6.87458,-14.399999999999977,-14.399999999999977,12.596400000000001,12.596400000000001,,300,154,93,21,0.0,-1.0,868.612060546875,119.12613677978516,,1.7316333055496211
2071,2022-05-04T14:20:25+00:00,38.77390899695456,-77.05184712074697,6.87737,-14.199999999999989,-14.199999999999989,12.596400000000001,12.596400000000001,,300,154,92,21,0.0,-1.0,868.612060546875,119.12613677978516,,1.727015614509582
2072,2022-05-04T14:20:26+00:00,38.77393539994955,-77.05183655954897,6.880439999999999,-14.399999999999977,-14.399999999999977,12.564000000000002,12.564000000000002,,300,154,92,21,0.0,-1.0,868.612060546875,119.12613677978516,,1.722398042678833
2073,2022-05-04T14:20:27+00:00,38.77396029420197,-77.0518244896084,6.88339,-14.399999999999977,-14.399999999999977,12.528,12.528,,300,153,92,21,0.0,-1.0,868.612060546875,119.12613677978516,,1.717780232429504
2074,2022-05-04T14:20:28+00:00,38.77398703247309,-77.0518112462014,6.88657,-14.399999999999977,-14.399999999999977,12.495600000000001,12.495600000000001,,300,153,92,21,0.0,-1.0,868.612060546875,108.7210464477539,,1.713162541389465
2075,2022-05-04T14:20:29+00:00,38.77401108853519,-77.05180009827018,6.889399999999999,-14.600000000000023,-14.600000000000023,12.4632,12.4632,,300,153,92,21,0.0,-1.0,852.79541015625,108.7210464477539,,1.6993094682693481
