time,latitude,longitude,elevation,pointxyz,euc_dist,flat_dist,euc_ mph,flat_mph,elevation_change,5sec_rolling_elv,second,elapsed_time,step_feet,cum_dist,moving_time
2021-11-19 14:59:29+00:00,38.78756454214454,-77.05300357192755,-13.399999618530273,"(38.78756454214454, -77.05300357192755, -13.399999618530273)",0.0022636069241151018,0.0022636069241151018,8.148984926814366,8.148984926814366,0.0,-0.039999961853027344,396,0:06:36,11.951844559327737,1.7459895518861284,1
2021-11-19 14:59:30+00:00,38.787539564073086,-77.05302553251386,-13.399999618530273,"(38.787539564073086, -77.05302553251386, -13.399999618530273)",0.002091477734165824,0.002091477734165824,7.5293198429969665,7.5293198429969665,0.0,-0.039999961853027344,397,0:06:37,11.04300243639555,1.7503446365444093,1
2021-11-19 14:59:31+00:00,38.787512658163905,-77.05304615199566,-13.600000381469727,"(38.787512658163905, -77.05304615199566, -13.600000381469727)",0.0021675256862507693,0.0021642013516984453,7.8030924705027696,7.791124866114403,-0.20000076293945312,-0.04000015258789062,398,0:06:38,11.426983136967792,1.7546003156302736,1
2021-11-19 14:59:32+00:00,38.787482902407646,-77.05306626856327,-13.600000381469727,"(38.787482902407646, -77.05306626856327, -13.600000381469727)",0.002322151459888916,0.002322151459888916,8.359745255600098,8.359745255600098,0.0,-0.04000015258789062,399,0:06:39,12.260959708213477,1.759086668441861,1
2021-11-19 14:59:33+00:00,38.78744971007109,-77.05308487638831,-13.800000190734863,"(38.78744971007109, -77.05308487638831, -13.800000190734863)",0.0025031597503318436,0.0025002817367543173,9.011375101194638,9.001014252315542,-0.19999980926513672,-0.08000011444091797,400,0:06:40,13.201487570062795,1.7639091016385042,1
2021-11-19 14:59:34+00:00,38.78741852939129,-77.05310516059399,-13.800000190734863,"(38.78741852939129, -77.05310516059399, -13.800000190734863)",0.002413561324542793,0.002413561324542793,8.688820768354056,8.688820768354056,0.0,-0.08000011444091797,401,0:06:41,12.743603793585947,1.7688229446998014,1
2021-11-19 14:59:35+00:00,38.787388522177935,-77.0531252771616,-13.800000190734863,"(38.787388522177935, -77.0531252771616, -13.800000190734863)",0.0023374975767376806,0.0023374975767376806,8.41499127625565,8.41499127625565,0.0,-0.08000011444091797,402,0:06:42,12.341987205174954,1.7735740036010819,1
2021-11-19 14:59:36+00:00,38.78735960461199,-77.05314455553889,-13.600000381469727,"(38.78735960461199, -77.05314455553889, -13.600000381469727)",0.0022531187485071436,0.002249920914685715,8.111227494625718,8.099715292868574,0.19999980926513672,0.0,403,0:06:43,11.879582429540575,1.7781614220925053,1
2021-11-19 14:59:37+00:00,38.787332279607654,-77.05316525883973,-13.0,"(38.787332279607654, -77.05316525883973, -13.0)",0.0022207232613539805,0.0021913492735581167,7.99460374087433,7.88885738480922,0.6000003814697266,0.12000007629394531,404,0:06:44,11.570324164386856,1.7826026922807492,1
2021-11-19 14:59:38+00:00,38.7873038649559,-77.0531836990267,-12.800000190734863,"(38.7873038649559, -77.0531836990267, -12.800000190734863)",0.0022016367019976903,0.0021983639814755593,7.925892127191685,7.9141103333120135,0.19999980926513672,0.2,405,0:06:45,11.607361822190953,1.7869924055357829,1
2021-11-19 14:59:39+00:00,38.7872747797519,-77.05320306122303,-12.600000381469727,"(38.7872747797519, -77.05320306122303, -12.600000381469727)",0.0022654475045006946,0.002262267098093024,8.155611016202501,8.144161553134886,0.19999980926513672,0.23999996185302735,406,0:06:46,11.944770277931166,1.7914530366153514,1
2021-11-19 14:59:40+00:00,38.787243934348226,-77.05322409979999,-12.600000381469727,"(38.787243934348226, -77.05322409979999, -12.600000381469727)",0.0024118858335451846,0.0024118858335451846,8.682789000762664,8.682789000762664,0.0,0.23999996185302735,407,0:06:47,12.734757201118574,1.7961271895469897,1
2021-11-19 14:59:41+00:00,38.78721577115357,-77.05324371345341,-12.800000190734863,"(38.78721577115357, -77.05324371345341, -12.800000190734863)",0.002215777209574822,0.002212525405489616,7.976797954469359,7.965091459762618,-0.19999980926513672,0.16000003814697267,408,0:06:48,11.682134140985173,1.8007516007860245,1
2021-11-19 14:59:42+00:00,38.78718844614923,-77.05326341092587,-13.199999809265137,"(38.78718844614923, -77.05326341092587, -13.199999809265137)",0.0021774236378025564,0.0021641566043899287,7.8387250960892025,7.7909637758037436,-0.39999961853027344,-0.039999961853027344,409,0:06:49,11.426746871178823,1.805128282795904,1
2021-11-19 14:59:43+00:00,38.78716103732586,-77.05328335985541,-13.399999618530273,"(38.78716103732586, -77.05328335985541, -13.399999618530273)",0.0021791882690318683,0.0021758817843237524,7.8450777685147255,7.8331744235655085,-0.19999980926513672,-0.11999988555908203,410,0:06:50,11.488655821229413,1.8094683211846179,1
2021-11-19 14:59:44+00:00,38.787133041769266,-77.05330188386142,-13.600000381469727,"(38.787133041769266, -77.05330188386142, -13.600000381469727)",0.0021780153867218374,0.0021747070871576206,7.840855392198614,7.828945513767434,-0.20000076293945312,-0.2,411,0:06:51,11.482453420192236,1.8138189100560993,1
2021-11-19 14:59:45+00:00,38.78710789605975,-77.05331898294389,-13.600000381469727,"(38.78710789605975, -77.05331898294389, -13.600000381469727)",0.0019648933069338556,0.0019648933069338556,7.07361590496188,7.07361590496188,0.0,-0.2,412,0:06:52,10.374636660610758,1.8179585104501907,1
2021-11-19 14:59:46+00:00,38.78708182834089,-77.05333507619798,-14.0,"(38.78708182834089, -77.05333507619798, -14.0)",0.0020114104908562696,0.0019970408790482706,7.241077767082571,7.189347164573775,-0.39999961853027344,-0.23999996185302735,413,0:06:53,10.544375841374869,1.821920444636173,1
2021-11-19 14:59:47+00:00,38.78705592826009,-77.05334957689047,-13.800000190734863,"(38.78705592826009, -77.05334957689047, -13.800000190734863)",0.0019542537920361346,0.0019505660489082186,7.0353136513300845,7.0220377760695865,0.19999980926513672,-0.12000007629394531,414,0:06:54,10.298988738235394,1.8258680515641295,1
2021-11-19 14:59:48+00:00,38.78702726215124,-77.05336214974523,-13.800000190734863,"(38.78702726215124, -77.05336214974523, -13.800000190734863)",0.0020906299440089193,0.0020906299440089193,7.52626779843211,7.52626779843211,0.0,-0.08000011444091797,415,0:06:55,11.038526104367094,1.8299092475570466,1
2021-11-19 14:59:49+00:00,38.786999098956585,-77.05337413586676,-13.800000190734863,"(38.786999098956585, -77.05337413586676, -13.800000190734863)",0.002047619356642003,0.002047619356642003,7.37142968391121,7.37142968391121,0.0,-0.039999961853027344,416,0:06:56,10.811430203069776,1.8340474968576976,1
2021-11-19 14:59:50+00:00,38.78696992993355,-77.0533845294267,-13.600000381469727,"(38.78696992993355, -77.0533845294267, -13.600000381469727)",0.0020922825980116276,0.0020888385522601057,7.53221735284186,7.51981878813638,0.19999980926513672,0.0,417,0:06:57,11.029067555933358,1.8381839547665997,1
2021-11-19 14:59:51+00:00,38.78694067709148,-77.05339567735791,-13.399999618530273,"(38.78694067709148, -77.05339567735791, -13.399999618530273)",0.0021091021589108496,0.0021056855906946116,7.592767772079059,7.580468126500602,0.20000076293945312,0.12000007629394531,418,0:06:58,11.11801991886755,1.8423784789095543,1
2021-11-19 14:59:52+00:00,38.786911172792315,-77.05340690910816,-13.399999618530273,"(38.786911172792315, -77.05340690910816, -13.399999618530273)",0.0021236008880137483,0.0021236008880137483,7.644963196849494,7.644963196849494,0.0,0.08000011444091797,419,0:06:59,11.212612688712591,1.8466077653882627,1
2021-11-19 14:59:53+00:00,38.78688116557896,-77.05341797322035,-13.399999618530273,"(38.78688116557896, -77.05341797322035, -13.399999618530273)",0.0021543430892772813,0.0021543430892772813,7.755635121398212,7.755635121398212,0.0,0.08000011444091797,420,0:07:00,11.374931511384045,1.8508857093655537,1
2021-11-19 14:59:54+00:00,38.78685233183205,-77.05343113280833,-13.399999618530273,"(38.78685233183205, -77.05343113280833, -13.399999618530273)",0.0021120149078667078,0.0021120149078667078,7.603253668320148,7.603253668320148,0.0,0.08000011444091797,421,0:07:01,11.151438713536217,1.8551520673626978,1
2021-11-19 14:59:55+00:00,38.7868255097419,-77.05345032736659,-13.399999618530273,"(38.7868255097419, -77.05345032736659, -13.399999618530273)",0.0021206140327116965,0.0021206140327116965,7.634210517762107,7.634210517762107,0.0,0.04000015258789062,422,0:07:02,11.196842092717757,1.859384696303276,1
2021-11-19 14:59:56+00:00,38.78679768182337,-77.05347245559096,-13.399999618530273,"(38.78679768182337, -77.05347245559096, -13.399999618530273)",0.002260950764771003,0.002260950764771003,8.13942275317561,8.13942275317561,0.0,0.0,423,0:07:03,11.937820037990896,1.8637662611007588,1
2021-11-19 14:59:57+00:00,38.786769937723875,-77.05349567346275,-13.399999618530273,"(38.786769937723875, -77.05349567346275, -13.399999618530273)",0.0022877405829740726,0.0022877405829740726,8.235866098706662,8.235866098706662,0.0,0.0,424,0:07:04,12.079270278103102,1.8683149524485039,1
