time,latitude,longitude,elevation,pointxyz,distance,mph,pace,sec_mile_pace,elevation_change,cum_elevation,cum_distance,second,elapsed_time,step_feet,moving_time
2021-11-19 15:46:48+00:00,38.77488473430276,-77.06118858419359,-24.200000762939453,"(38.77488473430276, -77.06118858419359, -24.200000762939453)",0.00226275,8.1459,0:07:21.940117,441.94011711413106,0.0,-21.200000762939453,6.0641486949999965,3235,0:53:55,11.94732,1
2021-11-19 15:46:49+00:00,38.77488565631211,-77.06114868633449,-24.200000762939453,"(38.77488565631211, -77.06114868633449, -24.200000762939453)",0.00215009,7.740323999999999,0:07:45.096810,465.09680990098093,0.0,-21.200000762939453,6.066298784999996,3236,0:53:56,11.352475199999999,1
2021-11-19 15:46:50+00:00,38.774885991588235,-77.06111096777022,-24.200000762939453,"(38.774885991588235, -77.06111096777022, -24.200000762939453)",0.00203188,7.314767999999999,0:08:12.155049,492.15504852648786,0.0,-21.200000762939453,6.068330664999996,3237,0:53:57,10.728326399999998,1
2021-11-19 15:46:51+00:00,38.77489211037755,-77.06107115373015,-24.200000762939453,"(38.77489211037755, -77.06107115373015, -24.200000762939453)",0.0021859,7.8692400000000005,0:07:37.477469,457.4774692346402,0.0,-21.200000762939453,6.070516564999996,3238,0:53:58,11.541552000000001,1
2021-11-19 15:46:52+00:00,38.77489881590009,-77.06103066913784,-24.200000762939453,"(38.77489881590009, -77.06103066913784, -24.200000762939453)",0.00222942,8.025912,0:07:28.547156,448.54715576248526,0.0,-21.200000762939453,6.072745984999996,3239,0:53:59,11.7713376,1
2021-11-19 15:46:53+00:00,38.77489839680493,-77.06099387258291,-24.200000762939453,"(38.77489839680493, -77.06099387258291, -24.200000762939453)",0.0019823,7.136280000000001,0:08:24.464511,504.4645109216566,0.0,-21.200000762939453,6.0747282849999955,3240,0:54:00,10.466544,1
2021-11-19 15:46:54+00:00,38.774908035993576,-77.06095397472382,-24.200000762939453,"(38.774908035993576, -77.06095397472382, -24.200000762939453)",0.00224997,8.099892,0:07:24.450370,444.45037044938374,0.0,-21.200000762939453,6.076978254999996,3241,0:54:01,11.8798416,1
2021-11-19 15:46:55+00:00,38.77491264604032,-77.06091055646539,-24.200000762939453,"(38.77491264604032, -77.06091055646539, -24.200000762939453)",0.00236036,8.497296,0:07:03.664187,423.6641868189598,0.0,-21.200000762939453,6.079338614999996,3242,0:54:02,12.4627008,1
2021-11-19 15:46:56+00:00,38.774908035993576,-77.06086864694953,-24.200000762939453,"(38.774908035993576, -77.06086864694953, -24.200000762939453)",0.00227986,8.207495999999999,0:07:18.623424,438.6234242453484,0.0,-21.200000762939453,6.0816184749999955,3243,0:54:03,12.0376608,1
2021-11-19 15:46:57+00:00,38.774907030165195,-77.06083143129945,-24.399999618530273,"(38.774907030165195, -77.06083143129945, -24.399999618530273)",0.00200587,7.221132,0:08:18.536795,498.5367945081187,-0.1999988555908203,-21.399999618530273,6.083624344999995,3244,0:54:04,10.5909936,1
2021-11-19 15:46:58+00:00,38.774901665747166,-77.06078851595521,-24.399999618530273,"(38.774901665747166, -77.06078851595521, -24.399999618530273)",0.00234121,8.428355999999999,0:07:07.129561,427.1295612098018,0.0,-21.399999618530273,6.085965554999995,3245,0:54:05,12.3615888,1
2021-11-19 15:46:59+00:00,38.77489948645234,-77.06074669025838,-24.600000381469727,"(38.77489948645234, -77.06074669025838, -24.600000381469727)",0.00225801,8.128836,0:07:22.867835,442.8678349520153,-0.20000076293945312,-21.600000381469727,6.088223564999995,3246,0:54:06,11.9222928,1
2021-11-19 15:47:00+00:00,38.774897726252675,-77.06070670858026,-24.399999618530273,"(38.774897726252675, -77.06070670858026, -24.399999618530273)",0.00215709,7.765524,0:07:43.587518,463.5875183696554,0.20000076293945312,-21.399999618530273,6.090380654999995,3247,0:54:07,11.3894352,1
2021-11-19 15:47:01+00:00,38.77489320002496,-77.06066790036857,-24.0,"(38.77489320002496, -77.06066790036857, -24.0)",0.00211371,7.609356,0:07:53.101797,473.101797313728,0.39999961853027344,-21.0,6.092494364999995,3248,0:54:08,11.1603888,1
2021-11-19 15:47:02+00:00,38.774888506159186,-77.0606280863285,-24.0,"(38.774888506159186, -77.0606280863285, -24.0)",0.00216901,7.8084359999999995,0:07:41.039829,461.03982923084726,0.0,-21.0,6.094663374999995,3249,0:54:09,11.4523728,1
