time,latitude,longitude,elevation
,38.65469,-78.58653,441.265198
,38.65471,-78.58655,441.437744
,38.65473,-78.58657,441.640564
,38.65475,-78.58658,441.701569
,38.65477,-78.58658,441.598389
,38.65479,-78.5866,441.872101
,38.6548,-78.58662,442.213379
,38.65483,-78.58664,442.511719
,38.65485,-78.58664,442.454865
,38.65487,-78.58665,442.648254
,38.6549,-78.58666,442.869476
,38.65492,-78.58668,443.247955
,38.65493,-78.58669,443.420868
,38.65495,-78.58671,443.735596
,38.65498,-78.58672,443.823517
,38.655,-78.58675,444.2005
,38.65502,-78.58677,444.380524
,38.65504,-78.58678,444.397217
,38.65506,-78.5868,444.505219
,38.65507,-78.58682,444.782227
,38.65509,-78.58685,445.256195
,38.65511,-78.58687,445.550995
,38.65513,-78.58689,445.868744
,38.65516,-78.58691,446.322906
,38.65518,-78.58692,446.585266
,38.6552,-78.58693,446.832092
,38.65523,-78.58694,447.082916
,38.65526,-78.58695,447.312073
,38.65529,-78.58697,447.673279
,38.65531,-78.58698,447.839813
,38.65533,-78.58699,447.989471
,38.65535,-78.587,448.123627
,38.65538,-78.58701,448.23584
,38.6554,-78.58702,448.334991
,38.65543,-78.58703,448.566284
,38.65546,-78.58704,448.964935
,38.65548,-78.58705,449.232819
,38.6555,-78.58706,449.474152
,38.65552,-78.58707,449.688934
,38.65556,-78.58707,450.011444
,38.65558,-78.58707,450.173035
,38.6556,-78.58707,450.334625
,38.65563,-78.58707,450.576691
,38.65565,-78.58707,450.73761
,38.65568,-78.58706,451.042114
,38.65571,-78.58704,451.733917
,38.65574,-78.58703,452.601685
,38.65577,-78.58701,453.488647
,38.65579,-78.58698,454.110962
,38.65581,-78.58696,454.661682
,38.65584,-78.58694,455.412842
,38.65586,-78.58691,455.900909
,38.65588,-78.58687,456.340485
,38.65589,-78.58684,456.534576
,38.65591,-78.58681,456.884949
,38.65592,-78.5868,456.986542
,38.65595,-78.58678,457.246582
,38.65597,-78.58676,457.30661
,38.65599,-78.58675,457.290131
,38.65601,-78.58673,457.072815
,38.65603,-78.58672,456.992157
,38.65605,-78.58671,456.894196
,38.65609,-78.58669,456.655121
,38.65611,-78.58668,456.512085
,38.65615,-78.58666,456.177917
,38.65617,-78.58666,456.208771
,38.65619,-78.58666,456.239655
,38.65621,-78.58665,456.034546
,38.65624,-78.58663,455.572144
,38.65626,-78.58662,455.336761
,38.65629,-78.58662,455.373474
,38.65631,-78.58661,455.183472
,38.65634,-78.58659,454.853302
,38.65636,-78.58658,454.734985
,38.65638,-78.58658,454.811188
,38.6564,-78.58658,454.887665
,38.65642,-78.58657,454.822723
,38.65644,-78.58656,454.783234
,38.65647,-78.58656,454.936615
,38.65649,-78.58655,454.94278
,38.65652,-78.58655,455.11557
,38.65654,-78.58655,455.369141
,38.65657,-78.58656,455.938751
,38.65659,-78.58655,456.226562
,38.65662,-78.58655,456.740723
,38.65665,-78.58654,457.230286
,38.65668,-78.58653,457.743408
,38.6567,-78.58653,458.100769
,38.65672,-78.58651,458.568726
,38.65675,-78.58649,459.245056
,38.65678,-78.58649,459.799866
,38.6568,-78.58648,460.240417
,38.65683,-78.58647,460.907166
,38.65692,-78.58645,462.801575
,38.65694,-78.58643,463.267975
,38.65696,-78.58643,463.648315
,38.65698,-78.58641,464.083893
,38.657,-78.5864,464.475433
,38.65703,-78.58639,465.037994
,38.65705,-78.58638,465.407867
,38.65708,-78.58637,465.941895
,38.65711,-78.58636,466.326294
,38.65714,-78.58635,466.68576
,38.65716,-78.58634,466.917145
,38.65718,-78.58633,467.144379
,38.65719,-78.58632,467.248657
,38.65721,-78.58632,467.483185
,38.65724,-78.58631,467.814087
,38.65728,-78.58629,468.226105
,38.6573,-78.58629,468.451904
,38.65732,-78.58629,468.67865
,38.65736,-78.58629,469.131195
,38.65737,-78.58629,469.272522
,38.6574,-78.58627,469.632507
,38.65744,-78.58626,470.172333
,38.65746,-78.58626,470.459595
,38.65748,-78.58625,470.711792
,38.6575,-78.58623,470.892517
,38.65752,-78.58623,471.174622
,38.65756,-78.58621,471.616241
,38.65757,-78.58619,471.630035
,38.65759,-78.58618,471.835754
,38.65761,-78.58616,471.969879
,38.65764,-78.58614,472.220032
,38.65766,-78.58613,472.363678
,38.65767,-78.58611,472.328064
,38.65769,-78.5861,472.47171
,38.65771,-78.58609,472.616241
,38.65773,-78.58608,472.760162
,38.65775,-78.58607,472.903809
,38.65777,-78.58607,473.120148
,38.6578,-78.58604,473.22818
,38.65782,-78.58604,473.443634
,38.65785,-78.58604,473.7677
,38.65788,-78.58602,473.94754
,38.6579,-78.586,474.020264
,38.65791,-78.58599,474.055573
,38.65793,-78.58598,474.152039
,38.65795,-78.58597,474.216827
,38.65797,-78.58595,474.159119
,38.65803,-78.5859,474.142395
,38.65806,-78.58587,474.118195
,38.65809,-78.58586,474.288696
,38.6581,-78.58584,474.206268
,38.65812,-78.58582,474.22049
,38.65814,-78.5858,474.246552
,38.65815,-78.58579,474.262421
,38.65819,-78.58576,474.427765
,38.65822,-78.58575,474.584137
,38.65824,-78.58574,474.655945
,38.65825,-78.58573,474.655945
,38.65828,-78.58573,474.872009
